Listing Id,Locality,Property Type,Property Subtype,Price,Fully Equipped Kitchen,Number of Rooms,Area,Garden,Terrace,Swimming Pool,New Building
9511920,3500,house,villa,790000,0.0,5,2233.0,,,,False
9511921,1170,house,house,550000,1.0,3,104.0,,True,,False
9511930,4607,house,house,199000,1.0,5,190.0,35.0,True,,False
9511939,8370,apartment,flat studio,69000,1.0,0,,,,,False
9511966,4430,house,house,325000,0.0,4,650.0,320.0,True,,False
9511967,4040,apartment,apartment,145000,0.0,3,,,,,False
9511968,4020,house,house,169000,0.0,3,141.0,70.0,True,,False
9511969,4000,apartment,duplex,259000,0.0,3,,,True,,False
9511971,4602,house,house,109000,0.0,2,165.0,100.0,True,,False
9511975,8480,apartment,apartment,219000,1.0,2,,,True,,False
9511999,4550,apartment,apartment,159000,1.0,1,,,,,False
9512003,1790,house,house,398000,1.0,3,606.0,300.0,True,,False
9512017,1060,apartment,apartment,420000,0.0,3,,,,,False
9512045,9080,house,house,449000,1.0,3,510.0,315.0,True,,False
9512046,1360,apartment,duplex,229000,1.0,2,,,True,,False
9512087,8434,apartment,apartment,159000,0.0,2,,,True,,False
9512101,8434,apartment,apartment,159000,0.0,2,,,True,,False
9512109,8434,apartment,apartment,149000,1.0,3,,,,,False
9512112,1081,apartment,apartment,185000,0.0,1,,,,,False
9512154,4100,apartment,penthouse,115000,0.0,3,,,True,,False
9512155,4100,apartment,apartment,115000,0.0,3,,,True,,False
9512159,8000,apartment,apartment,545000,1.0,2,,,True,,False
9512164,3080,apartment,apartment,290000,1.0,2,,,True,,False
9512185,7800,house,house,115000,0.0,4,87.0,,,,False
9512235,1050,house,mansion,1200000,0.0,5,0.0,160.0,True,,False
9512286,1380,house,villa,845000,0.0,4,1600.0,,,True,False
9512306,2140,apartment,apartment,225000,1.0,2,,,True,,False
9512324,2000,apartment,apartment,489000,1.0,2,,,True,,False
9512387,7390,house,house,109000,0.0,3,263.0,,,,False
9512388,7370,house,house,59000,0.0,3,67.0,,,,False
9512397,1050,apartment,apartment,380000,1.0,3,,,True,,False
9512430,1000,apartment,apartment,330000,1.0,2,,,,,False
9512473,2650,house,apartment block,985000,0.0,5,515.0,,True,,False
9512527,1410,house,house,840000,1.0,3,1000.0,900.0,True,,False
9512538,8800,house,house,338000,1.0,4,258.0,145.0,True,,False
9512571,4101,house,house,235000,0.0,3,220.0,200.0,True,,False
9512576,7760,house,mansion,495000,1.0,4,3870.0,,True,,False
9512577,9600,house,house,225000,0.0,5,289.0,,True,,False
9512578,1640,house,house,1500000,0.0,4,2524.0,,True,,False
9512598,1440,house,exceptional property,615000,1.0,5,936.0,,,,False
9512599,1440,house,apartment block,615000,1.0,5,936.0,,,,False
9512645,4180,house,house,159000,0.0,5,567.0,426.0,True,,False
9512647,1180,apartment,apartment,365000,1.0,2,,,True,,False
9512651,1190,apartment,apartment,235000,1.0,1,,,,,False
9512689,5100,house,house,275000,1.0,2,123.0,,True,,False
9512869,1000,apartment,duplex,1700000,0.0,3,,450.0,True,,False
9512874,1180,apartment,apartment,700000,1.0,4,,,True,True,False
9513004,8500,house,house,220000,1.0,2,240.0,,True,,False
9513046,1180,apartment,apartment,765000,1.0,4,,,True,,False
9513048,1000,apartment,loft,1690000,1.0,4,,,True,,False
9513084,1060,apartment,apartment,540000,1.0,2,,,,,False
9513085,1000,apartment,apartment,590000,1.0,3,,,True,,False
9513088,2000,apartment,apartment,249000,1.0,1,,,True,,False
9513102,1180,apartment,apartment,765000,1.0,4,,,True,,False
9513104,1160,apartment,apartment,795000,1.0,2,,,True,,True
9513109,4630,apartment,apartment,249000,1.0,2,,,,,False
9513121,8300,house,house,1650000,1.0,5,399.0,399.0,True,,False
9513153,3080,house,house,750000,0.0,5,885.0,,True,,False
9513193,9308,house,house,269000,1.0,3,400.0,,True,,False
9513194,9300,house,house,269000,1.0,3,400.0,,True,,False
9513212,1140,apartment,apartment,249000,0.0,3,,,True,,False
9513213,1200,apartment,apartment,375000,1.0,3,,,True,,False
9513214,1030,house,mixed use building,800000,0.0,8,295.0,130.0,True,,False
9513234,1081,apartment,apartment,235000,0.0,2,,,True,,False
9513257,1050,apartment,apartment,275000,0.0,2,,,True,,False
9513263,4031,house,other property,1150000,1.0,13,2778.0,2778.0,True,,False
9513280,6230,house,villa,389900,1.0,3,800.0,300.0,True,True,False
9513306,1400,house,villa,400000,1.0,5,953.0,,True,,False
9513326,1851,house,mixed use building,545000,1.0,6,470.0,150.0,True,,False
9513336,8531,house,house,735000,1.0,4,5874.0,3160.0,True,,False
9513435,1180,house,villa,599000,1.0,4,191.0,107.0,True,,False
9513438,2930,apartment,apartment,499000,1.0,3,,,True,,False
9513460,1435,house,house,445000,1.0,4,854.0,,True,,False
9513483,6000,apartment,loft,105000,1.0,2,,,True,,False
9513601,4520,house,house,375000,1.0,6,4314.0,3500.0,True,,False
9513625,8370,apartment,apartment,225000,1.0,2,,,,,False
9513644,9800,apartment,apartment,318000,1.0,2,,,True,,True
9513645,9800,apartment,penthouse,318000,1.0,2,,,True,,True
9513703,1040,house,house,945000,1.0,5,180.0,110.0,True,,False
9513759,5300,house,house,350000,1.0,4,1219.0,1040.0,True,,False
9513825,9620,house,bungalow,349850,1.0,2,986.0,,,,False
9513845,4300,house,house,225000,0.0,4,409.0,,,,False
9513846,1040,apartment,apartment,250000,1.0,1,,,True,,False
9513864,5000,apartment,apartment,165000,1.0,1,,,True,,False
9513865,5000,apartment,duplex,299000,1.0,3,,,True,,False
9513866,5000,apartment,apartment,179000,1.0,1,,,,,False
9513867,5000,apartment,duplex,249000,1.0,2,,,,,False
9513868,1000,apartment,apartment,229000,1.0,1,,,,,False
9513892,8620,apartment,duplex,445000,1.0,3,,,True,,False
9513893,8434,apartment,apartment,230000,1.0,2,,,True,,False
9513957,9300,house,house,299000,0.0,3,140.0,33.0,,,False
9513965,3000,apartment,apartment,1020000,1.0,3,,,True,,False
9513966,3001,house,villa,1365000,1.0,3,1065.0,,True,,False
9513967,3001,house,mixed use building,1365000,1.0,3,1065.0,,True,,False
9513999,7110,house,villa,239000,0.0,3,698.0,,True,,False
9514071,2800,house,house,469000,1.0,3,69.0,20.0,True,,False
9514243,2050,apartment,ground floor,497500,1.0,2,,60.0,True,,True
9514297,1160,house,town house,790000,1.0,4,250.0,,True,,False
9514314,3900,apartment,apartment,239000,1.0,2,,,True,,False
9514344,1730,house,house,299000,1.0,3,60.0,,True,,False
9514386,9690,apartment,apartment,215000,0.0,2,,,True,,False
9514400,8000,house,house,295000,1.0,1,41.0,,,,False
9514401,8310,house,house,409000,1.0,4,155.0,50.0,,,False
9514402,8000,house,house,295000,1.0,1,33.0,5.0,,,False
9514431,6700,house,house,470000,1.0,5,430.0,,True,,False
9514447,1020,apartment,apartment,245000,0.0,2,,,True,,False
9514451,1200,apartment,apartment,249000,0.0,1,,,True,,False
9514470,1332,house,house,595000,1.0,5,1056.0,,True,,False
9514481,1000,apartment,apartment,240000,1.0,1,,,,,False
9514508,1761,house,house,399000,1.0,3,627.0,401.0,True,,False
9514538,2000,apartment,apartment,425000,1.0,2,,,True,,True
9514611,1800,house,house,349000,1.0,3,330.0,,,,False
9514613,3001,house,house,365000,0.0,2,589.0,330.0,,,False
9514623,1210,house,house,465000,0.0,4,104.0,40.0,,,False
9514631,1050,apartment,apartment,310000,1.0,2,,,,,False
9514651,1140,apartment,apartment,170000,0.0,1,,,True,,False
9514672,1050,house,house,1090000,1.0,6,135.0,60.0,True,,False
9514698,2550,apartment,apartment,298000,1.0,3,,,,,False
9514730,9550,house,villa,595000,1.0,4,1879.0,1718.0,True,,False
